date,amount,where,what
1/29/2021,$45.00,Montgomery County BOE,nominating petition filing fee
2/17/2021,$12.00,Google,domain name
3/2/2021,$14.05,Amazon,campaign t-shirt
3/2/2021,$35.00,Ohio Ethics Commission,Financial Disclosure Statement
3/18/2021,$26.77,BuildASign.com,magnetic bumper stickers
3/31/2021,$20.00,Facebook,advertising
3/31/2021,$15.00,Huber Heights Chamber of Commerce,April Chamber Speaker Series
4/9/2021,$35.91,Rural King,community cleanup supplies
4/9/2021,$157.30,SignsOnTheCheap.com,yard signs
4/17/2021,$17.73,Staples,label for yard sign disclaimers
4/17/2021,$2.97,Lowes,yard sign holders
5/1/2021,$5.93,Lowes,yard sign holders
,$20.00,Facebook,advertising
